num_lectures,price,days_since_published,content_duration
24,50,1939,1.0
47,60,2744,13.0
15,35,2985,2.0
38,100,2035,6.0
24,20,2486,2.0
34,200,1856,1.5
29,200,2365,2.0
110,50,3051,7.5
6,50,2248,0.6833333333333333
18,40,2121,2.0
15,50,2420,3.0
15,0,1794,3.0
25,195,2582,1.5
12,0,1920,0.5
11,20,2462,1.0
24,115,2578,2.0
97,45,3387,10.0
36,0,2806,4.5
7,0,1801,0.5833333333333334
14,20,2907,1.5
24,100,2044,2.0
43,75,1780,1.0
41,90,2939,3.5
113,75,2977,10.0
14,45,2067,1.0
24,0,1780,1.5
21,35,2258,1.0
13,20,2710,1.5
8,20,2479,0.6833333333333333
14,50,2597,3.5
40,95,3158,5.5
38,195,2215,5.0
21,30,2198,2.5
39,40,3177,3.0
5,20,2541,1.0
54,40,2196,11.5
21,20,2471,1.0
47,100,1913,3.5
10,20,2277,0.7333333333333333
7,20,2051,1.0
20,0,2781,3.0
6,40,2593,1.5
246,200,2463,32.5
18,95,2071,1.5
49,100,2463,9.0
19,35,2437,2.0
27,0,2317,3.0
9,20,2079,0.7333333333333333
188,200,2158,22.5
69,0,2204,5.0
20,40,2124,1.5
163,50,2262,10.5
48,20,2952,12.5
8,25,1791,2.0
12,20,2171,2.5
9,50,1780,2.0
195,20,3489,18.0
8,0,1986,1.0
20,200,2184,4.0
9,45,1914,1.0
14,20,2897,1.5
16,50,2940,4.0
19,150,2065,2.0
17,20,2383,3.0
8,0,2838,0.5833333333333334
22,50,2314,1.5
53,0,2514,3.0
33,95,2631,2.5
10,0,1786,2.0
10,20,3078,0.6333333333333333
83,100,2156,5.0
17,50,2380,0.6333333333333333
79,50,2486,15.0
56,50,2026,1.5
19,50,2989,3.0
32,20,2353,2.0
62,40,2346,3.5
16,20,2543,1.5
20,30,2059,1.5
86,95,1842,12.0
13,75,1784,2.5
33,50,2924,3.5
8,20,2003,1.0
45,60,2276,1.0
9,20,1925,1.0
13,20,2333,1.0
158,150,1976,30.0
24,85,1997,0.65
24,200,1835,3.0
37,200,1818,6.0
20,20,1907,2.0
17,0,1875,1.5
22,50,2989,4.0
25,25,2071,1.0
18,20,2567,2.0
20,200,2315,2.5
6,20,1822,0.5333333333333333
36,195,2458,3.5
29,195,2211,2.5
9,45,2288,2.0
16,200,1868,1.0
154,20,2397,14.5
4,35,2418,0.55
8,30,1961,2.0
59,95,1822,4.5
15,50,2060,1.5
26,95,1899,2.5
104,115,2518,5.5
29,100,1813,1.5
13,95,1954,1.0
22,150,2259,1.5
88,200,2032,7.0
35,25,3031,8.5
304,200,2262,30.5
10,95,1961,1.0
53,55,2716,3.0
5,20,2982,1.0
19,35,1849,1.0
103,195,1875,6.5
24,50,2323,3.5
14,80,2539,0.5
27,20,2442,3.0
49,50,1843,3.0
19,105,2704,2.0
75,50,3410,12.5
55,30,2037,4.5
5,20,2683,0.55
171,65,1947,19.0
235,100,2080,19.5
48,30,2283,3.0
12,25,1884,0.5
16,25,3107,4.5
19,20,2605,2.5
37,0,1997,2.5
104,110,2305,14.0
39,20,2455,4.0
7,40,2001,0.5833333333333334
6,0,2657,1.5
7,20,1822,1.0
7,40,2191,1.5
19,30,1835,3.0
26,50,1981,1.0
88,50,2694,6.0
51,50,3179,7.5
23,0,2168,2.0
10,20,1850,2.5
14,20,3394,1.5
9,20,2179,1.0
47,40,2385,0.7333333333333333
74,20,2353,4.0
14,0,2825,1.0
86,50,2984,5.5
13,20,2367,3.5
8,20,2707,0.6
31,0,2451,1.5
29,20,3155,2.5
39,25,2882,2.0
15,20,2380,2.5
6,20,2896,0.4833333333333333
32,195,2974,14.0
24,50,3019,5.5
19,0,1816,2.5
8,20,2312,0.6166666666666667
16,35,3000,2.0
91,100,2024,4.0
35,20,3065,2.5
52,25,3216,10.5
18,20,2542,1.0
6,20,2458,1.0
150,180,2333,26.5
29,50,2949,14.5
16,195,2598,2.0
31,0,2484,6.5
9,20,2795,1.0
110,95,2657,2.5
88,50,2392,10.5
27,25,1920,2.5
194,150,2267,9.5
61,50,2589,2.5
34,85,2735,2.0
20,20,2080,0.6333333333333333
19,80,1989,2.0
38,35,2146,3.0
129,200,2494,11.0
50,30,2038,3.5
21,20,2751,3.0
16,40,1848,1.5
27,20,2291,1.0
64,20,3504,9.5
62,95,1896,2.5
48,20,2508,2.0
22,95,1983,1.0
15,145,2200,1.0
44,30,2466,7.0
14,40,2065,1.0
68,50,2329,16.5
15,20,1835,1.5
65,0,2094,5.5
18,95,2144,2.0
17,95,2473,1.5
196,40,2193,5.5
9,25,1973,0.5833333333333334
27,20,1786,2.5
9,20,1907,1.0
13,50,2718,2.5
16,95,1981,1.5
62,75,2569,4.5
28,20,2802,1.5
7,20,2639,1.5
35,100,2380,3.0
35,50,2295,2.5
15,200,1902,1.0
33,20,2940,6.0
12,195,2186,1.0
14,20,2367,3.5
16,20,3005,1.5
6,20,2555,1.0
30,100,2002,2.0
17,200,2369,1.0
16,55,2581,1.5
5,20,1777,0.5166666666666666
31,20,2697,2.0
24,20,3621,1.0
11,40,2466,0.5833333333333334
18,50,1946,2.0
7,20,2144,1.0
11,100,2349,0.5
26,50,2954,7.5
70,30,2505,7.0
14,50,1842,1.0
20,0,2232,4.0
20,0,1919,2.0
65,20,2141,2.5
10,30,3142,2.0
77,50,2015,17.5
9,30,2628,1.0
24,20,2389,1.5
35,40,1781,5.5
69,0,1849,20.5
79,40,1895,6.5
15,95,3108,1.0
90,85,2574,5.0
9,50,2127,0.5166666666666666
8,20,2326,0.65
28,40,2099,4.0
58,95,2423,7.0
14,20,2947,1.5
37,200,2732,5.5
14,35,2914,1.0
16,50,1904,2.0
23,75,2849,2.0
58,20,2551,6.0
9,50,2197,2.0
84,20,2494,5.5
23,75,2647,3.0
69,80,1868,4.5
34,95,2226,2.5
48,85,2735,3.5
26,20,2382,2.5
35,20,2638,3.0
41,20,2268,4.0
20,200,1940,3.0
194,150,2388,24.5
129,150,2010,13.5
62,150,2107,2.0
26,55,2172,4.0
12,20,2326,3.0
11,50,1873,1.0
8,20,1857,1.0
14,40,2467,1.5
145,200,2028,14.5
63,50,2026,1.5
24,195,2709,5.0
16,120,2698,1.5
34,20,3201,1.5
42,50,2990,4.5
9,20,2252,1.0
20,0,2119,0.6166666666666667
10,50,2088,1.0
9,35,2621,0.55
11,0,1807,1.5
100,0,1975,5.0
25,30,2343,1.5
88,40,2324,7.5
17,20,2479,2.0
159,195,2027,18.5
6,135,1780,1.0
14,30,2044,1.0
111,150,2158,21.0
34,20,2980,6.5
57,50,2001,6.5
46,45,2403,5.5
10,70,1862,1.5
14,0,2943,1.5
81,20,2563,4.5
20,30,1780,3.0
13,30,2607,1.5
8,20,2610,1.0
30,50,2231,6.0
113,95,2018,2.0
16,20,1837,1.0
31,100,2087,3.0
25,40,2379,4.0
22,0,3661,2.5
18,45,2289,1.0
10,30,2470,1.0
13,40,1940,1.0
5,20,3201,1.0
11,20,1913,1.0
87,60,2303,17.5
50,200,2373,5.5
28,85,1973,3.5
110,50,2632,9.0
24,50,2220,4.0
8,65,2388,1.0
18,90,1839,2.5
46,75,2474,4.5
13,20,3103,0.6333333333333333
26,100,2501,3.5
185,100,3802,12.0
27,25,2303,6.0
28,80,2779,2.5
9,75,1785,2.5
19,0,2487,2.0
55,105,2098,6.0
27,20,1851,1.5
11,20,2670,0.6833333333333333
39,40,1941,5.5
30,30,2100,4.0
362,200,2841,30.0
11,0,2212,0.55
64,75,2294,4.5
9,35,2007,1.5
174,45,2067,16.5
20,20,3046,2.0
8,20,3279,1.0
5,20,2162,0.6
57,20,2620,2.0
25,45,2553,1.0
76,20,2213,5.0
26,95,2762,5.0
27,40,1784,1.0
79,200,2329,18.0
47,35,2303,3.5
16,200,2214,1.5
91,50,2429,7.0
43,100,2427,3.0
12,35,1821,0.7333333333333333
43,80,1981,5.5
